Time,Size,Location,County,State,Lat,Lon,Comments
1827,100,2 SW Dysartsville,McDowell,NC,35.58,-81.89,mPING report of 1 inch hail near Landis Lane. (GSP)
1830,100,Dysartsville,McDowell,NC,35.6,-81.87,Report of 1 inch hail in Dysartsville from social media. (GSP)
1930,125,Victor,Ontario,NY,42.98,-77.41,(BUF)
2037,100,Farmville,Prince Edward,VA,37.3,-78.39,(AKQ)
0010,100,6 WNW Ledger,Pondera,MT,48.3,-111.95,Picture via soical media. Time estimated by radar... and location is estimated from report. (TFX)
