Time,Size,Location,County,State,Lat,Lon,Comments
1905,100,1 SSW Brooksville,Hernando,FL,28.54,-82.4,Broadcast media report of quarter size hail near Brooksville... FL. (TBW)
2128,100,5 WNW West Valley,Deer Lodge,MT,46.18,-113.11,Heavy rain of 1.29 inch in less than an hour. (MSO)
2200,100,5 N Augusta,Teton,MT,47.57,-112.39,Video on social media showed significant accumulating hail with the largest stones estimated at quarter size. (TFX)
2240,100,4 SSW Cornucopia,Bayfield,WI,46.8,-91.12,Spotter reported incredibly intense thunderstorm lasting five to seven minutes with quarter size hail and strong winds. No significant wind damage observed. Time estima (DLH)
0325,100,3 SSE Lupfer,Flathead,MT,48.45,-114.49,Lots of quarters... lasted about 3 minutes. (MSO)
